Campaign,Ad Group,Ad type,Final URL,Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Headline 2 position,Headline 3 position,Headline 4 position,Headline 5 position,Headline 6 position,Headline 7 position,Headline 8 position,Headline 9 position,Headline 10 position,Headline 11 position,Headline 12 position,Headline 13 position,Headline 14 position,Headline 15 position,Description 1,Description 2,Description 3,Description 4
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/pokemon-worlds-2026,Enabled,Pokemon Worlds 2026,"Aug 27-30 · San Francisco, CA","Card Show In San Francisco, CA",At Moscone Center,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Pokemon Worlds: Aug 27-30 at Moscone Center & Chase Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - San Francisco Card Show,Responsive search ad,https://www.dcmgrading.com/card-shows/pokemon-worlds-2026,Enabled,"Card Show In San Francisco, CA",Pokemon Worlds 2026,"Aug 27-30 · San Francisco, CA",At Moscone Center,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Pokemon Worlds: Aug 27-30 at Moscone Center & Chase Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Pokemon Worlds San Francisco Aug 2026,Pokemon Worlds - Venue,Responsive search ad,https://www.dcmgrading.com/card-shows/pokemon-worlds-2026,Enabled,At Moscone Center,Pokemon Worlds 2026,"Aug 27-30 · San Francisco, CA","Card Show In San Francisco, CA","Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Pokemon Worlds: Aug 27-30 at Moscone Center & Chase Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-richmond-2026,Enabled,Collect-A-Con Richmond 2026,"Aug 29-30 · Richmond, VA","Card Show In Richmond, VA",Richmond Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con Richmond: Aug 29-30 in Richmond, VA. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Richmond Card Show,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-richmond-2026,Enabled,"Card Show In Richmond, VA",Collect-A-Con Richmond 2026,"Aug 29-30 · Richmond, VA",Richmond Venue Details,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con Richmond: Aug 29-30 in Richmond, VA. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con Richmond Aug 2026,Collect-A-Con Richmond - Venue,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-richmond-2026,Enabled,Richmond Venue Details,Collect-A-Con Richmond 2026,"Aug 29-30 · Richmond, VA","Card Show In Richmond, VA","Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con Richmond: Aug 29-30 in Richmond, VA. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con Charlotte Aug 2026,Collect-A-Con Charlotte - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-charlotte-2026,Enabled,Collect-A-Con Charlotte 2026,"Aug 29-30 · Charlotte, NC","Card Show In Charlotte, NC",At Charlotte Convention Center,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con Charlotte: Aug 29-30 in Charlotte, NC. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con Charlotte Aug 2026,Collect-A-Con Charlotte - Charlotte Card Show,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-charlotte-2026,Enabled,"Card Show In Charlotte, NC",Collect-A-Con Charlotte 2026,"Aug 29-30 · Charlotte, NC",At Charlotte Convention Center,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con Charlotte: Aug 29-30 in Charlotte, NC. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Collect-A-Con Charlotte Aug 2026,Collect-A-Con Charlotte - Venue,Responsive search ad,https://www.dcmgrading.com/card-shows/collect-a-con-charlotte-2026,Enabled,At Charlotte Convention Center,Collect-A-Con Charlotte 2026,"Aug 29-30 · Charlotte, NC","Card Show In Charlotte, NC","Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Collect-A-Con Charlotte: Aug 29-30 in Charlotte, NC. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
Show - Culture Collision Atlanta Sep 2026,Culture Collision - Show Name,Responsive search ad,https://www.dcmgrading.com/card-shows/culture-collision-atlanta-fall-2026,Enabled,Culture Collision 2026,"Sep 4-6 · Duluth, GA","Card Show In Atlanta, GA",At Gas South Convention Center,"Dates, Venue & Highlights",Grade Cards From A Photo,Check Centering Before Buying,Get 2 Free Card Grades,10% Off Credits: CARDSHOW,Graded In About A Minute,Real Sold-Listing Pricing,No Mailing Required,Verify A Slab By QR,Subgrades & Centering Report,,1,2,,,,,,,,,,,,,,"Culture Collision: Sep 4-6 at Gas South Convention Center. Dates, hours and highlights.",Heading to the show? Grade your pulls from a photo in about a minute. Two free grades.,Check centering and condition before you buy at the table. 10% off credits with CARDSHOW.,Real sold-listing pricing and a scannable grade report for every card. No mailing needed.
