Campaign,Link Text,Description Line 1,Description Line 2,Final URL
Search - Pokemon,Grade Your First Card,Two free grades to start,Results in about a minute,https://www.dcmgrading.com/grade-your-first-card
Search - Pokemon,Pricing,Credits from $0.50 per grade,Card Lovers monthly & annual,https://www.dcmgrading.com/credits
Search - Pokemon,How It Works,"Centering, corners, edges, surface","Weakest-link grading, explained",https://www.dcmgrading.com/grading-rubric
Search - Pokemon,Reports & Slab Labels,Print labels for any holder,"Heritage, Modern, custom",https://www.dcmgrading.com/reports-and-labels
Search - Pokemon,Market Pricing,"Real sold listings, not asking",Graded and raw estimates,https://www.dcmgrading.com/market-pricing
Search - Pokemon,Card Lovers Plan,70 grades a month for $49.99,Or 900 a year for $449,https://www.dcmgrading.com/card-lovers
Search-sports,Grade Your First Card,Two free grades to start,Results in about a minute,https://www.dcmgrading.com/grade-your-first-card
Search-sports,Pricing,Credits from $0.50 per grade,Card Lovers monthly & annual,https://www.dcmgrading.com/credits
Search-sports,How It Works,"Centering, corners, edges, surface","Weakest-link grading, explained",https://www.dcmgrading.com/grading-rubric
Search-sports,Reports & Slab Labels,Print labels for any holder,"Heritage, Modern, custom",https://www.dcmgrading.com/reports-and-labels
Search-sports,Market Pricing,"Real sold listings, not asking",Graded and raw estimates,https://www.dcmgrading.com/market-pricing
Search-sports,Card Lovers Plan,70 grades a month for $49.99,Or 900 a year for $449,https://www.dcmgrading.com/card-lovers
Search-general audience,Grade Your First Card,Two free grades to start,Results in about a minute,https://www.dcmgrading.com/grade-your-first-card
Search-general audience,Pricing,Credits from $0.50 per grade,Card Lovers monthly & annual,https://www.dcmgrading.com/credits
Search-general audience,How It Works,"Centering, corners, edges, surface","Weakest-link grading, explained",https://www.dcmgrading.com/grading-rubric
Search-general audience,Reports & Slab Labels,Print labels for any holder,"Heritage, Modern, custom",https://www.dcmgrading.com/reports-and-labels
Search-general audience,Market Pricing,"Real sold listings, not asking",Graded and raw estimates,https://www.dcmgrading.com/market-pricing
Search-general audience,Card Lovers Plan,70 grades a month for $49.99,Or 900 a year for $449,https://www.dcmgrading.com/card-lovers
Search-enterprise,See A Live Storefront,A card shop grading under its brand,Your logo on every slab,https://www.dcmgrading.com/enterprise/apex
Search-enterprise,Plans From $199/mo,"400 grades a month, $0.50 each","Enterprise 1,000 at $0.40",https://www.dcmgrading.com/enterprise#pricing
Search-enterprise,Apply Now,"Shops, dealers, breakers",Set up in a day,https://www.dcmgrading.com/enterprise#apply
Search-enterprise,Branded Labels & Reports,Design your slab label once,It prints on every card,https://www.dcmgrading.com/enterprise#labels
Enterprise-PMAX,See A Live Storefront,A card shop grading under its brand,Your logo on every slab,https://www.dcmgrading.com/enterprise/apex
Enterprise-PMAX,Plans From $199/mo,"400 grades a month, $0.50 each","Enterprise 1,000 at $0.40",https://www.dcmgrading.com/enterprise#pricing
Enterprise-PMAX,Apply Now,"Shops, dealers, breakers",Set up in a day,https://www.dcmgrading.com/enterprise#apply
Enterprise-PMAX,Branded Labels & Reports,Design your slab label once,It prints on every card,https://www.dcmgrading.com/enterprise#labels
