Route,Source,Page family,Review basis,Next optimization
/about,src/app/about/page.tsx,Public editorial / marketing,Source/template review; see report for browser sample coverage,"Check heading rhythm, primary CTA, purposeful imagery and related links."
/account,src/app/account/page.tsx,Account / utility,Source/template review; see report for browser sample coverage,"Prioritize clear form hierarchy, focus, errors and one task CTA; no large card rail."
/admin/affiliates,src/app/admin/(dashboard)/affiliates/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/analytics,src/app/admin/(dashboard)/analytics/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/blog/[id]/edit,src/app/admin/(dashboard)/blog/[id]/edit/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/blog/new,src/app/admin/(dashboard)/blog/new/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/blog,src/app/admin/(dashboard)/blog/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/cards,src/app/admin/(dashboard)/cards/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/comic-lab/[id],src/app/admin/(dashboard)/comic-lab/[id]/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/comic-lab,src/app/admin/(dashboard)/comic-lab/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/costs,src/app/admin/(dashboard)/costs/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/dashboard,src/app/admin/(dashboard)/dashboard/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/grade-reviews/[id],src/app/admin/(dashboard)/grade-reviews/[id]/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/grade-reviews,src/app/admin/(dashboard)/grade-reviews/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/iap-transactions,src/app/admin/(dashboard)/iap-transactions/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/label-lab,src/app/admin/(dashboard)/label-lab/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/monitoring,src/app/admin/(dashboard)/monitoring/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/organizations,src/app/admin/(dashboard)/organizations/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
/admin/promo-labels,src/app/admin/(dashboard)/promo-labels/page.tsx,Admin,Source/template review; see report for browser sample coverage,Separate operational UI pass; do not add marketing heroes or card decoration.
